Season,Team,Player,Position,Appearances,Minutes_Played,Goals,Assists
2012/13,Fulham,Jack Johnson,Defender,19,1235,1,8
2012/13,Fulham,Ryan Scott,Forward,31,2728,8,7
2012/13,Fulham,Mason Harris,Defender,14,1302,5,0
2012/13,Fulham,James Anderson,Forward,27,1917,18,9
2012/13,Fulham,Liam Clark,Forward,11,682,7,12
2012/13,Fulham,Leo Johnson,Midfielder,20,1240,17,14
2012/13,Fulham,John Anderson,Midfielder,37,2701,18,5
2012/13,Fulham,Luke Lewis,Defender,28,2436,0,6
2012/13,Fulham,Liam Allen,Defender,17,1496,16,1
2012/13,Fulham,Alex Jackson,Defender,7,553,3,6
2012/13,Fulham,Harry Hall,Midfielder,20,1400,21,9
2012/13,Fulham,Tom Taylor,Forward,22,1826,22,8
2012/13,Fulham,Tom Scott,Defender,6,522,24,6
2012/13,Leicester,James Johnson,Forward,34,2108,20,10
2012/13,Leicester,Tom Young,Midfielder,28,2324,18,11
2012/13,Leicester,Jack Scott,Defender,25,1875,11,5
2012/13,Leicester,Tom Garcia,Midfielder,30,2250,0,4
2012/13,Leicester,Noah Garcia,Midfielder,13,858,19,0
2012/13,Leicester,Ryan Johnson,Forward,27,1647,7,9
2012/13,Leicester,Oscar Harris,Forward,24,1800,19,6
2012/13,Leicester,Michael Johnson,Defender,31,2170,2,1
2012/13,Leicester,Michael Smith,Forward,9,603,12,6
2012/13,Leicester,Luke King,Forward,20,1900,21,9
2012/13,Leicester,Alex Martin,Defender,15,1035,2,14
2012/13,Leicester,Oscar Smith,Defender,28,2520,10,2
2012/13,Leicester,Ethan King,Forward,28,2436,15,11
2012/13,Leicester,Michael Thomas,Forward,11,979,10,15
2012/13,Leicester,Luke Jackson,Forward,12,900,22,6
2012/13,Leicester,Liam Clark,Midfielder,6,444,2,5
2012/13,Leicester,Michael Garcia,Defender,16,1376,17,1
2012/13,Leicester,Leo Harris,Forward,29,2552,13,12
2012/13,Liverpool,Michael Martin,Forward,16,1200,11,12
2012/13,Liverpool,Aaron Brown,Defender,38,3496,10,2
2012/13,Liverpool,Oscar King,Midfielder,35,2555,2,2
2012/13,Liverpool,Noah King,Forward,18,1206,25,7
2012/13,Liverpool,Noah King,Forward,33,2541,20,7
2012/13,Liverpool,David Thomas,Midfielder,28,1988,14,0
2012/13,Liverpool,Ben Martin,Forward,31,1891,8,2
2012/13,Liverpool,Leo White,Defender,18,1674,22,11
2012/13,Liverpool,Mason Smith,Forward,6,468,15,3
2012/13,Liverpool,David Walker,Forward,30,2310,9,0
2012/13,Liverpool,James White,Midfielder,5,350,25,6
2012/13,Liverpool,John King,Midfielder,32,3040,14,0
2012/13,Liverpool,Jack Walker,Forward,29,2378,18,0
2012/13,Liverpool,Daniel Hall,Forward,9,603,25,11
2012/13,Liverpool,Oscar Clark,Defender,17,1275,8,9
2012/13,Liverpool,Ryan King,Forward,12,1008,5,9
2012/13,Liverpool,Chris Smith,Defender,32,2048,5,6
2012/13,Liverpool,Aaron Anderson,Defender,7,588,5,8
2012/13,Man City,Harry Scott,Defender,37,3034,19,13
2012/13,Man City,Michael White,Midfielder,25,1800,8,13
2012/13,Man City,Ethan Brown,Forward,9,675,2,14
2012/13,Man City,Aaron Clark,Forward,13,871,7,10
2012/13,Man City,Michael Anderson,Defender,11,891,1,14
2012/13,Man City,Ryan Smith,Forward,16,1344,5,7
2012/13,Man City,Jack Brown,Forward,17,1394,0,11
2012/13,Man City,Michael Jackson,Forward,11,924,14,10
2012/13,Man City,Alex Harris,Defender,13,962,5,11
2012/13,Man City,Noah Martin,Defender,10,920,13,8
2012/13,Man City,Harry Lewis,Forward,10,780,18,15
2012/13,Man City,Mason Young,Defender,32,2432,23,4
2012/13,Man City,Ethan Scott,Forward,32,2560,15,7
2012/13,Man City,Tom Johnson,Forward,13,1040,9,11
2012/13,Man City,Chris Brown,Midfielder,28,1680,25,3
2012/13,Man City,Harry Jackson,Defender,11,935,17,4
2012/13,Man City,Noah King,Midfielder,14,1190,1,11
2012/13,Man City,Harry Brown,Defender,15,1275,23,12
2012/13,Man United,James Anderson,Forward,11,902,11,4
2012/13,Man United,Aaron Smith,Forward,30,2070,18,13
2012/13,Man United,Leo Walker,Defender,17,1173,1,3
2012/13,Man United,Liam Johnson,Midfielder,35,2730,20,6
2012/13,Man United,Liam Scott,Forward,38,2812,17,0
2012/13,Man United,Liam Johnson,Forward,13,806,5,8
2012/13,Man United,Alex Taylor,Forward,26,1794,17,10
2012/13,Man United,Oscar Allen,Defender,14,1050,1,15
2012/13,Man United,Oscar Martin,Forward,31,2728,25,13
2012/13,Man United,Noah Allen,Midfielder,26,2262,13,3
2012/13,Man United,Jack Thompson,Defender,10,620,14,0
2012/13,Man United,Michael Anderson,Midfielder,24,1872,14,5
2012/13,Man United,Aaron Martin,Defender,12,1104,3,12
2012/13,Man United,Michael Taylor,Forward,30,2550,13,4
2012/13,Man United,Leo Martin,Forward,18,1386,10,6
2012/13,Man United,Luke Thomas,Defender,26,1742,4,15
2012/13,Man United,Oscar Smith,Midfielder,18,1332,4,14
2012/13,Man United,Michael Jackson,Midfielder,7,469,8,6
2012/13,Newcastle,Daniel Jackson,Forward,18,1566,11,12
2012/13,Newcastle,Ethan Young,Forward,16,1216,8,11
2012/13,Newcastle,Ben White,Forward,32,2272,11,2
2012/13,Newcastle,James Harris,Forward,33,2706,10,4
2012/13,Newcastle,Oscar Smith,Defender,28,1904,25,13
2012/13,Newcastle,Daniel Thompson,Forward,12,972,23,11
2012/13,Newcastle,Ben Garcia,Midfielder,37,3367,12,5
2012/13,Newcastle,Harry Taylor,Defender,36,2592,3,9
2012/13,Newcastle,James Johnson,Forward,29,2726,10,14
2012/13,Newcastle,Ethan Allen,Forward,17,1564,16,1
2012/13,Newcastle,Tom King,Defender,33,2046,3,6
2012/13,Newcastle,Luke Garcia,Midfielder,21,1491,16,9
2012/13,Newcastle,Aaron Martin,Midfielder,16,1520,10,0
2012/13,Newcastle,David White,Forward,33,2607,23,6
2012/13,Newcastle,John Lewis,Defender,27,2565,21,8
2012/13,Newcastle,Ryan Johnson,Midfielder,22,1430,16,13
2012/13,Newcastle,Chris Anderson,Defender,15,1245,6,5
2012/13,Newcastle,Harry Clark,Forward,35,2730,16,7
2012/13,Norwich,Leo Thomas,Forward,34,2414,5,14
2012/13,Norwich,Mason Thompson,Forward,9,567,7,6
2012/13,Norwich,Ethan Harris,Defender,17,1496,6,5
2012/13,Norwich,John Lewis,Midfielder,24,1920,9,4
2012/13,Norwich,Ben Smith,Defender,10,810,14,13
2012/13,Norwich,Ethan Garcia,Midfielder,28,1820,24,11
2012/13,Norwich,Ben Clark,Forward,5,355,6,9
2012/13,Norwich,Jack Thompson,Midfielder,9,810,21,4
2012/13,Norwich,Michael Thomas,Defender,25,2300,13,11
2012/13,Norwich,Luke Hall,Midfielder,25,1675,23,8
2012/13,Norwich,Luke Thomas,Midfielder,7,595,8,9
2012/13,Norwich,Oscar Johnson,Midfielder,27,2484,3,1
2012/13,Norwich,Michael Anderson,Forward,9,729,24,7
2012/13,Norwich,Ryan Jackson,Forward,21,1407,25,9
2012/13,Norwich,Tom Walker,Defender,21,1281,1,5
2012/13,Norwich,Harry Scott,Midfielder,25,1625,25,4
2012/13,Norwich,Chris Thompson,Forward,25,2075,11,15
2012/13,Norwich,Michael Brown,Forward,5,365,13,14
2012/13,Southampton,Tom Johnson,Midfielder,23,1426,15,15
2012/13,Southampton,Aaron Hall,Midfielder,16,1472,12,12
2012/13,Southampton,Mason Jackson,Midfielder,38,3382,13,6
2012/13,Southampton,Aaron Young,Midfielder,25,2325,12,12
2012/13,Southampton,Jack Harris,Midfielder,12,744,17,4
2012/13,Southampton,Alex Young,Defender,22,1452,20,10
2012/13,Southampton,David Walker,Defender,37,2775,15,8
2012/13,Southampton,Chris Smith,Forward,30,2130,19,1
2012/13,Southampton,Ryan Smith,Midfielder,8,736,3,1
2012/13,Southampton,Mason Smith,Midfielder,34,2720,11,12
2012/13,Southampton,Jack Allen,Midfielder,18,1530,4,6
2012/13,Southampton,Leo Young,Defender,13,819,5,14
2012/13,Southampton,Alex Scott,Midfielder,11,847,2,8
2012/13,Southampton,Chris Smith,Forward,20,1480,4,14
2012/13,Southampton,Luke Anderson,Forward,32,2848,24,9
2012/13,Southampton,David Scott,Midfielder,38,3572,6,5
2012/13,Southampton,Leo Smith,Forward,11,715,8,9
2012/13,Southampton,Leo Thomas,Forward,36,2196,20,0
2012/13,Tottenham,Mason Walker,Forward,33,2706,15,6
2012/13,Tottenham,Harry Young,Midfielder,12,756,11,13
2012/13,Tottenham,Harry Martin,Defender,25,1875,19,6
2012/13,Tottenham,Ethan Harris,Midfielder,37,3108,3,5
2012/13,Tottenham,Harry Thomas,Forward,17,1190,3,3
2012/13,Tottenham,Chris Young,Forward,34,2210,12,10
2012/13,Tottenham,Mason Lewis,Midfielder,30,2580,17,11
2012/13,Tottenham,Daniel King,Forward,12,888,0,8
2012/13,Tottenham,Oscar Thompson,Forward,36,2556,9,15
2012/13,Tottenham,Jack Young,Midfielder,27,2403,15,14
2012/13,Tottenham,Luke Walker,Defender,15,1320,11,4
2012/13,Tottenham,Tom Taylor,Forward,31,2387,22,0
2012/13,Tottenham,Ryan Thomas,Defender,25,1625,3,4
2012/13,Tottenham,Aaron Lewis,Forward,28,2128,0,12
2012/13,Tottenham,Aaron White,Forward,20,1260,9,14
2012/13,Tottenham,John Brown,Forward,29,2262,15,10
2012/13,Tottenham,Liam Thompson,Forward,25,2300,14,5
2012/13,Tottenham,Michael Brown,Midfielder,27,1701,12,3
2012/13,West Ham,Daniel Taylor,Midfielder,9,621,22,7
2012/13,West Ham,Alex Jackson,Defender,24,1704,22,9
2012/13,West Ham,Michael Lewis,Defender,7,441,22,0
2012/13,West Ham,Aaron Lewis,Defender,15,1260,4,10
2012/13,West Ham,Aaron Garcia,Midfielder,30,2190,11,9
2012/13,West Ham,Ethan King,Midfielder,20,1880,25,14
2012/13,West Ham,Ryan Walker,Defender,29,1856,16,2
2012/13,West Ham,Daniel Hall,Forward,37,2738,21,13
2012/13,West Ham,Michael Garcia,Defender,7,581,6,5
2012/13,West Ham,Michael Brown,Defender,9,837,4,2
2012/13,West Ham,Ethan Clark,Defender,6,498,17,6
2012/13,West Ham,Michael Brown,Forward,24,1848,7,3
2012/13,West Ham,Leo Martin,Defender,9,801,9,10
2012/13,West Ham,Aaron Walker,Midfielder,34,3196,12,10
2012/13,West Ham,Oscar Clark,Midfielder,23,1955,2,6
2012/13,West Ham,Ryan Brown,Midfielder,29,1885,1,11
2012/13,West Ham,Ben Johnson,Defender,28,2408,3,14
2012/13,West Ham,Tom Harris,Midfielder,17,1275,20,5
2012/13,Wolves,Noah Martin,Midfielder,10,910,4,4
2012/13,Wolves,Daniel Thomas,Defender,17,1122,14,0
2012/13,Wolves,Chris Harris,Midfielder,37,3367,3,13
2012/13,Wolves,Noah Jackson,Midfielder,35,2275,17,11
2012/13,Wolves,Luke White,Forward,28,2016,10,4
2012/13,Wolves,Daniel Walker,Midfielder,19,1539,20,13
2012/13,Wolves,Aaron Scott,Forward,20,1760,1,13
2012/13,Wolves,Michael Clark,Midfielder,25,2200,21,1
2012/13,Wolves,Ben Allen,Midfielder,10,620,13,0
2012/13,Wolves,John Scott,Forward,7,539,8,0
2012/13,Wolves,Daniel Johnson,Defender,6,552,13,4
2012/13,Wolves,Leo Allen,Defender,19,1558,7,13
2012/13,Wolves,Aaron Smith,Forward,34,2652,7,11
2012/13,Wolves,Harry Garcia,Midfielder,17,1156,12,5
2012/13,Wolves,Ethan Thompson,Defender,5,425,7,1
2012/13,Wolves,Chris Harris,Defender,33,2541,6,4
2012/13,Wolves,Jack Allen,Defender,37,2553,0,10
2012/13,Wolves,Jack Harris,Forward,34,2958,21,8
2013/14,Arsenal,Aaron King,Midfielder,12,936,6,6
2013/14,Arsenal,Oscar King,Defender,34,2448,3,6
2013/14,Arsenal,Daniel King,Midfielder,22,1628,21,6
2013/14,Arsenal,David Allen,Forward,17,1428,12,13
2013/14,Arsenal,Ryan Taylor,Defender,38,3192,18,13
2013/14,Arsenal,Ben Martin,Forward,37,2886,22,11
2013/14,Arsenal,Tom Allen,Forward,13,884,5,5
2013/14,Arsenal,David Lewis,Defender,15,1260,19,13
2013/14,Arsenal,Liam Allen,Defender,17,1377,2,14
2013/14,Arsenal,Noah Brown,Forward,19,1634,5,11
2013/14,Arsenal,Chris Clark,Midfielder,13,1040,3,0
2013/14,Arsenal,Mason Harris,Defender,36,2520,21,15
2013/14,Arsenal,John Harris,Midfielder,9,630,3,2
2013/14,Arsenal,John Brown,Midfielder,24,1752,19,3
2013/14,Arsenal,Leo Thomas,Defender,19,1729,19,3
2013/14,Arsenal,John Clark,Defender,27,2079,17,14
2013/14,Arsenal,John Johnson,Forward,8,552,6,10
2013/14,Arsenal,Aaron Jackson,Midfielder,21,1827,15,4
2013/14,Aston Villa,David King,Midfielder,38,2622,6,13
2013/14,Aston Villa,Michael Walker,Forward,29,1740,22,3
2013/14,Aston Villa,Luke King,Midfielder,15,1080,15,3
2013/14,Aston Villa,Noah Lewis,Forward,15,1140,15,9
2013/14,Aston Villa,John Thompson,Forward,20,1520,17,11
2013/14,Aston Villa,Luke Thompson,Midfielder,34,2958,15,8
2013/14,Aston Villa,Ryan Scott,Forward,17,1224,8,7
2013/14,Aston Villa,Aaron Young,Midfielder,9,612,7,7
2013/14,Aston Villa,James Harris,Midfielder,28,2268,3,5
2013/14,Aston Villa,James Young,Forward,9,675,7,1
2013/14,Aston Villa,Harry Young,Forward,32,1920,19,1
2013/14,Aston Villa,John Brown,Forward,14,980,3,5
2013/14,Aston Villa,Michael Hall,Defender,22,1936,0,4
2013/14,Aston Villa,Ethan White,Defender,28,2408,8,2
2013/14,Aston Villa,Daniel Jackson,Midfielder,9,675,8,7
2013/14,Aston Villa,Mason Lewis,Defender,24,1824,2,12
2013/14,Aston Villa,Mason Johnson,Forward,5,470,5,0
2013/14,Aston Villa,Jack Smith,Defender,20,1880,22,6
2013/14,Bournemouth,Luke Anderson,Forward,36,2844,18,15
2013/14,Bournemouth,Luke Jackson,Defender,24,1680,13,6
2013/14,Bournemouth,Ryan Young,Midfielder,38,2584,1,6
2013/14,Bournemouth,Tom Lewis,Midfielder,29,2001,25,8
2013/14,Bournemouth,Aaron Anderson,Forward,17,1071,8,13
2013/14,Bournemouth,Chris Taylor,Midfielder,30,1800,0,15
2013/14,Bournemouth,Ben Anderson,Defender,34,2346,0,5
2013/14,Bournemouth,Oscar King,Forward,38,3306,14,11
2013/14,Bournemouth,Leo Walker,Midfielder,38,3078,4,9
2013/14,Bournemouth,David Harris,Forward,6,450,5,14
2013/14,Bournemouth,Leo Harris,Defender,30,2220,24,1
2013/14,Bournemouth,Ben Walker,Midfielder,11,682,23,14
2013/14,Bournemouth,Harry King,Forward,13,806,5,7
2013/14,Bournemouth,Tom Jackson,Midfielder,12,1020,2,0
2013/14,Bournemouth,Ethan Thomas,Midfielder,35,3220,19,10
2013/14,Bournemouth,Mason Harris,Forward,26,1664,6,4
2013/14,Bournemouth,Mason Harris,Midfielder,31,2356,14,8
2013/14,Bournemouth,Ethan Clark,Forward,20,1460,21,11
2013/14,Brentford,Ethan Hall,Forward,21,1533,21,3
2013/14,Brentford,Luke Walker,Defender,33,2145,9,5
2013/14,Brentford,James Thomas,Defender,29,2581,20,9
2013/14,Brentford,Harry King,Forward,12,1116,7,8
2013/14,Brentford,Liam Thompson,Forward,24,1584,4,5
2013/14,Brentford,Tom Martin,Defender,11,693,25,3
2013/14,Brentford,Tom Scott,Forward,16,1488,6,8
2013/14,Brentford,James Thomas,Forward,35,2555,17,13
2013/14,Brentford,Liam Clark,Defender,38,3154,9,4
2013/14,Brentford,Ben Allen,Defender,35,2380,6,9
2013/14,Brentford,Daniel Smith,Forward,32,2272,15,1
2013/14,Brentford,Ethan Anderson,Midfielder,18,1224,7,9
2013/14,Brentford,Tom Scott,Midfielder,16,1392,12,4
2013/14,Brentford,Ben Thompson,Defender,26,1690,8,4
2013/14,Brentford,Ryan Harris,Defender,32,2624,7,12
2013/14,Brentford,Mason Anderson,Defender,20,1800,19,14
2013/14,Brentford,Alex Johnson,Midfielder,21,1827,25,13
2013/14,Brentford,Oscar Johnson,Midfielder,10,620,22,6
2013/14,Brighton,James Harris,Midfielder,17,1139,15,10
2013/14,Brighton,Aaron Scott,Midfielder,33,2805,0,0
2013/14,Brighton,Jack Martin,Defender,7,581,2,5
2013/14,Brighton,Daniel Smith,Forward,37,2405,11,1
2013/14,Brighton,Jack Brown,Forward,33,3135,15,4
2013/14,Brighton,Oscar Young,Defender,30,2610,7,10
2013/14,Brighton,Oscar Brown,Midfielder,34,2550,3,13
2013/14,Brighton,Ryan Hall,Defender,11,946,19,2
2013/14,Brighton,Daniel Thomas,Forward,38,3306,15,1
2013/14,Brighton,Chris Thomas,Defender,29,1943,5,7
2013/14,Brighton,Alex Harris,Forward,33,2475,22,7
2013/14,Brighton,Michael Smith,Defender,30,2100,5,10
2013/14,Brighton,Liam Garcia,Defender,17,1020,9,1
2013/14,Brighton,Harry Martin,Midfielder,34,2040,7,8
2013/14,Brighton,David Johnson,Midfielder,21,1554,21,10
2013/14,Brighton,Tom Lewis,Forward,34,2856,19,10
